root	placeholder_path	top_score	top_candidates	reason
/Users/renatosocodato/cyto_kb	/Users/renatosocodato/cyto_kb/source_data/external/thermocausality_mtce/raw/BIOLOGICAL_CONTEXT.yml	5.5555	/Users/renatosocodato/Desktop/CDC42_microglia_paper/data/BIOLOGICAL_CONTEXT.yml | /Users/renatosocodato/cdc42_2p_fvsm_velocities/data/BIOLOGICAL_CONTEXT.yml	multiple_top_candidates
/Users/renatosocodato/cyto_kb	/Users/renatosocodato/cyto_kb/source_data/external/thermocausality_mtce/raw/DATA_DICTIONARY.yml	5.5087	/Users/renatosocodato/Desktop/CDC42_microglia_paper/data/DATA_DICTIONARY.yml | /Users/renatosocodato/cdc42_2p_fvsm_velocities/data/DATA_DICTIONARY.yml	multiple_top_candidates
/Users/renatosocodato/PFn1 5xFAD	/Users/renatosocodato/PFn1 5xFAD/recovery_hydration_2026-02-24/backups/spatial_integration/output/enhanced_phase2/redteam_results.csv	5.4509	/Users/renatosocodato/Library/CloudStorage/GoogleDrive-renato.socodato@gmail.com/My Drive/spatial_integration_archive/output/enhanced_phase2.5/redteam_results.csv | /Users/renatosocodato/PFn1 5xFAD/recovery_hydration_2026-02-24/backups/spatial_integration/output/enhanced_phase5/redteam_results.csv	multiple_top_candidates
/Users/renatosocodato/PFn1 5xFAD	/Users/renatosocodato/PFn1 5xFAD/recovery_hydration_2026-02-24/backups/spatial_integration/phase6/NAVIGATION_GUIDE.md	5.5691	/Users/renatosocodato/Library/CloudStorage/GoogleDrive-renato.socodato@gmail.com/My Drive/spatial_integration_archive/phase16/NAVIGATION_GUIDE.md | /Users/renatosocodato/PFn1 5xFAD/recovery_hydration_2026-02-24/backups/spatial_integration/phase2.5/NAVIGATION_GUIDE.md	multiple_top_candidates
/Users/renatosocodato/PFn1 5xFAD	/Users/renatosocodato/PFn1 5xFAD/recovery_hydration_2026-02-24/backups/spatial_integration/phase1/NAVIGATION_GUIDE.md	5.5691	/Users/renatosocodato/Library/CloudStorage/GoogleDrive-renato.socodato@gmail.com/My Drive/spatial_integration_archive/phase16/NAVIGATION_GUIDE.md | /Users/renatosocodato/PFn1 5xFAD/recovery_hydration_2026-02-24/backups/spatial_integration/phase2.5/NAVIGATION_GUIDE.md	multiple_top_candidates
/Users/renatosocodato/PFn1 5xFAD	/Users/renatosocodato/PFn1 5xFAD/recovery_hydration_2026-02-24/backups/spatial_integration/data/github_repos/single_cell_portal/scripts/benchmarks/README.md	5.6481	/Users/renatosocodato/Library/CloudStorage/GoogleDrive-renato.socodato@gmail.com/My Drive/spatial_integration_archive/README.md | /Users/renatosocodato/PFn1 5xFAD/recovery_hydration_2026-02-24/backups/spatial_integration/data/github_repos/single_cell_portal/README.md	multiple_top_candidates
/Users/renatosocodato/PFn1 5xFAD	/Users/renatosocodato/PFn1 5xFAD/recovery_hydration_2026-02-24/backups/spatial_integration/data/github_repos/single_cell_portal/scripts/monitoring/README.md	5.6481	/Users/renatosocodato/Library/CloudStorage/GoogleDrive-renato.socodato@gmail.com/My Drive/spatial_integration_archive/README.md | /Users/renatosocodato/PFn1 5xFAD/recovery_hydration_2026-02-24/backups/spatial_integration/data/github_repos/single_cell_portal/README.md	multiple_top_candidates
/Users/renatosocodato/PFn1 5xFAD	/Users/renatosocodato/PFn1 5xFAD/recovery_hydration_2026-02-24/backups/spatial_integration/data/github_repos/single_cell_portal/docker_files/README.md	5.6481	/Users/renatosocodato/Library/CloudStorage/GoogleDrive-renato.socodato@gmail.com/My Drive/spatial_integration_archive/README.md | /Users/renatosocodato/PFn1 5xFAD/recovery_hydration_2026-02-24/backups/spatial_integration/data/github_repos/single_cell_portal/README.md	multiple_top_candidates
/Users/renatosocodato/PFn1 5xFAD	/Users/renatosocodato/PFn1 5xFAD/recovery_hydration_2026-02-24/backups/spatial_integration/data/github_repos/scGen/README.md	5.6481	/Users/renatosocodato/Library/CloudStorage/GoogleDrive-renato.socodato@gmail.com/My Drive/spatial_integration_archive/README.md | /Users/renatosocodato/PFn1 5xFAD/recovery_hydration_2026-02-24/backups/spatial_integration/data/github_repos/single_cell_portal/README.md	multiple_top_candidates
/Users/renatosocodato/PFn1 5xFAD	/Users/renatosocodato/PFn1 5xFAD/recovery_hydration_2026-02-24/backups/spatial_integration/data/github_repos/harmony/README.md	5.6481	/Users/renatosocodato/Library/CloudStorage/GoogleDrive-renato.socodato@gmail.com/My Drive/spatial_integration_archive/README.md | /Users/renatosocodato/PFn1 5xFAD/recovery_hydration_2026-02-24/backups/spatial_integration/data/github_repos/single_cell_portal/README.md	multiple_top_candidates
