run_id	source_path	source_size_gib	source_type	purge_status	archive_status	accession_or_equivalent	origin_repository_class	origin_platform	origin_repository_class_inferred	public_repository_class	origin_reference_url	origin_reference_class	google_drive_destination	archive_destination_verified	source_purged_manifest_status	archive_manifest_present	ledger_present	depth_presence	audit_status	audit_gap	notes
reclaim_run_2026-02-22	/Users/renatosocodato/.cmdstan	0.457	system_cache_or_tooling	deleted	not_archived	tooling/compute cache	local-only	local system cache	missing	local-only	N/A	none	N/A	not_applicable	deleted	no	yes	yes	pass		
reclaim_run_2026-02-22	/Users/renatosocodato/.colima	1.622	system_cache_or_tooling	deleted	not_archived	tooling/compute cache	local-only	local system cache	missing	local-only	N/A	none	N/A	not_applicable	deleted	no	yes	yes	pass		
reclaim_run_2026-02-22	/Users/renatosocodato/.colima/_lima/_disks/colima/datadisk	48.099	system_cache_or_tooling	deleted	not_archived	tooling/compute cache	local-only	local system cache	missing	local-only	N/A	none	N/A	not_applicable	deleted	no	yes	yes	pass		
reclaim_run_2026-02-22	/Users/renatosocodato/.npm	2.020	system_cache_or_tooling	deleted	not_archived	tooling/compute cache	local-only	local system cache	missing	local-only	N/A	none	N/A	not_applicable	deleted	no	yes	yes	pass		
reclaim_run_2026-02-22	/Users/renatosocodato/Desktop/CDC42_microglia_paper	35.127	local_project	deleted	not_archived	local project bundle (CDC42_microglia_paper)	local-only	local project workspace	missing	local-only	N/A	none	N/A	not_applicable	deleted	no	yes	yes	pass		
reclaim_run_2026-02-22	/Users/renatosocodato/Downloads	11.321	system_cache_or_tooling	delete_blocked_permission	not_archived	N/A	local-only	N/A	missing	local-only	N/A	none	N/A	not_applicable	delete_blocked_permission	no	yes	yes	pass		
reclaim_run_2026-02-22	/Users/renatosocodato/Downloads/ActinMicrotub	61.353	local_project	deleted	not_archived	local dataset bundle (ActinMicrotub)	local-only	local workspace / local dataset cache	missing	local-only	N/A	none	N/A	not_applicable	deleted	no	yes	yes	pass		
reclaim_run_2026-02-22	/Users/renatosocodato/Downloads/~	33.079	local_path	deleted	not_archived	N/A	local-only	N/A	missing	local-only	N/A	none	N/A	not_applicable	deleted	no	yes	yes	pass		
reclaim_run_2026-02-22	/Users/renatosocodato/Library/Application Support/Claude	18.341	system_cache_or_tooling	deleted	not_archived	tooling/compute cache	local-only	local system cache	missing	local-only	N/A	none	N/A	not_applicable	deleted	no	yes	yes	pass		
reclaim_run_2026-02-22	/Users/renatosocodato/Library/Caches/Google	0.918	system_cache_or_tooling	deleted	not_archived	tooling/compute cache	local-only	local system cache	missing	local-only	N/A	none	N/A	not_applicable	deleted	no	yes	yes	pass		
reclaim_run_2026-02-22	/Users/renatosocodato/Library/Caches/Homebrew	3.777	system_cache_or_tooling	deleted	not_archived	tooling/compute cache	local-only	local system cache	missing	local-only	N/A	none	N/A	not_applicable	deleted	no	yes	yes	pass		
reclaim_run_2026-02-22	/Users/renatosocodato/Library/Caches/colima	1.451	system_cache_or_tooling	deleted	not_archived	tooling/compute cache	local-only	local system cache	missing	local-only	N/A	none	N/A	not_applicable	deleted	no	yes	yes	pass		
reclaim_run_2026-02-22	/Users/renatosocodato/Library/Caches/com.anthropic.claudefordesktop.ShipIt	0.551	system_cache_or_tooling	deleted	not_archived	tooling/compute cache	local-only	local system cache	missing	local-only	N/A	none	N/A	not_applicable	deleted	no	yes	yes	pass		
reclaim_run_2026-02-22	/Users/renatosocodato/Library/Caches/com.openai.atlas	1.814	system_cache_or_tooling	deleted	not_archived	tooling/compute cache	local-only	local system cache	missing	local-only	N/A	none	N/A	not_applicable	deleted	no	yes	yes	pass		
reclaim_run_2026-02-22	/Users/renatosocodato/Library/Caches/ms-playwright	0.499	system_cache_or_tooling	deleted	not_archived	tooling/compute cache	local-only	local system cache	missing	local-only	N/A	none	N/A	not_applicable	deleted	no	yes	yes	pass		
reclaim_run_2026-02-22	/Users/renatosocodato/Library/Caches/org.R-project.R	1.798	system_cache_or_tooling	delete_blocked_permission	not_archived	tooling/compute cache	local-only	local system cache	missing	local-only	N/A	none	N/A	not_applicable	delete_blocked_permission	no	yes	yes	pass		
reclaim_run_2026-02-22	/Users/renatosocodato/Library/Caches/pip	1.841	system_cache_or_tooling	deleted	not_archived	tooling/compute cache	local-only	local system cache	missing	local-only	N/A	none	N/A	not_applicable	deleted	no	yes	yes	pass		
reclaim_run_2026-02-22	/Users/renatosocodato/Library/R	4.133	system_cache_or_tooling	deleted	not_archived	tooling/compute cache	local-only	local system cache	missing	local-only	N/A	none	N/A	not_applicable	deleted	no	yes	yes	pass		
reclaim_run_2026-02-22	/Users/renatosocodato/PFn1 5xFAD	170.073	local_project	deleted	not_archived	GSE209583, GSE233208	GEO	NCBI GEO	NCBI GEO	public	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE233208 (primary external phase-7 source), GSE209583 (also used in phase-7 workflow)	GEO accession page(s)	N/A	not_applicable	deleted	no	yes	yes	pass		
reclaim_run_2026-02-22	/Users/renatosocodato/PFn1 5xFAD/fasterq.tmp.Renatos-MacBook-Pro-2.local.95902	21.158	local_project	deleted	not_archived	GSE209583, GSE233208	GEO	NCBI GEO	NCBI GEO	public	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE233208 (primary external phase-7 source), GSE209583 (also used in phase-7 workflow)	GEO accession page(s)	N/A	not_applicable	deleted	no	yes	yes	pass		
reclaim_run_2026-02-22	/Users/renatosocodato/PFn1 5xFAD/fasterq.tmp.Renatos-MacBook-Pro-2.local.99857	37.273	local_project	deleted	not_archived	GSE209583, GSE233208	GEO	NCBI GEO	NCBI GEO	public	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE233208 (primary external phase-7 source), GSE209583 (also used in phase-7 workflow)	GEO accession page(s)	N/A	not_applicable	deleted	no	yes	yes	pass		
reclaim_run_2026-02-22	/Users/renatosocodato/PFn1 5xFAD/spatial_integration/phase17/fasterq.tmp.Renatos-MacBook-Pro-2.local.8906	37.273	local_project	deleted	not_archived	GSE209583, GSE233208	GEO	NCBI GEO	NCBI GEO	public	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE233208 (primary external phase-7 source), GSE209583 (also used in phase-7 workflow)	GEO accession page(s)	N/A	not_applicable	deleted	no	yes	yes	pass		
reclaim_run_2026-02-22	/Users/renatosocodato/PFn1 5xFAD/spatial_integration/phase17/fasterq.tmp.Renatos-MacBook-Pro-2.local.9163	26.405	local_project	deleted	not_archived	GSE209583, GSE233208	GEO	NCBI GEO	NCBI GEO	public	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE233208 (primary external phase-7 source), GSE209583 (also used in phase-7 workflow)	GEO accession page(s)	N/A	not_applicable	deleted	no	yes	yes	pass		
reclaim_run_2026-02-22	/Users/renatosocodato/PFn1 5xFAD/spatial_integration/phase17/fasterq.tmp.Renatos-MacBook-Pro-2.local.9229	43.535	local_project	deleted	not_archived	GSE209583, GSE233208	GEO	NCBI GEO	NCBI GEO	public	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE233208 (primary external phase-7 source), GSE209583 (also used in phase-7 workflow)	GEO accession page(s)	N/A	not_applicable	deleted	no	yes	yes	pass		
reclaim_run_2026-02-22	/Users/renatosocodato/PFn1 5xFAD/spatial_integration/phase17/fasterq.tmp.Renatos-MacBook-Pro-2.local.9292	36.650	local_project	deleted	not_archived	GSE209583, GSE233208	GEO	NCBI GEO	NCBI GEO	public	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE233208 (primary external phase-7 source), GSE209583 (also used in phase-7 workflow)	GEO accession page(s)	N/A	not_applicable	deleted	no	yes	yes	pass		
reclaim_run_2026-02-22	/Users/renatosocodato/RNAseq-redox-cytoskel	10.734	local_project_archive	archived	archived_to_google_drive	local project archive (RNAseq-redox-cytoskel)	local-only	local project workspace	missing	local-only	N/A	none	/Users/renatosocodato/Library/CloudStorage/GoogleDrive-renato.socodato@gmail.com/My Drive/_disk_reclaim_archive_2026-02-22/phase3_pilot_RNAseq-redox-cytoskel	yes	archived	yes	yes	yes	pass		google_drive_destination_present (dir)
reclaim_run_2026-02-22	/Users/renatosocodato/amanda sierra_colab/data/atlas/Developing-Mouse-Vis-Cortex-10X-raw.h5ad	6.833	local_processed_asset	deleted	archived_to_google_drive	developing_mouse_vis_cortex_10x_raw (Developing Mouse Vis Cortex)	Amazon S3 (public mirror)	Allen Brain Cell Atlas / S3	S3 public mirror	public	https://allen-brain-cell-atlas.s3.amazonaws.com/expression_matrices/Developing-Mouse-Vis-Cortex-10X/20260131/Developing-Mouse-Vis-Cortex-10X-raw.h5ad	S3 mirror URL	/Users/renatosocodato/Library/CloudStorage/GoogleDrive-renato.socodato@gmail.com/My Drive/_disk_reclaim_archive_2026-02-22/repo_phase1_h5ad/Developing-Mouse-Vis-Cortex-10X-raw.h5ad	yes	deleted	yes	yes	yes	pass		google_drive_destination_present (7336722014)
reclaim_run_2026-02-22	/Users/renatosocodato/amanda sierra_colab/data/devvis/DevVIS_multiome_snRNA_processed.h5ad	5.554	local_processed_asset	deleted	archived_to_google_drive	devvis_multiome_snrna (DevVIS multiome)	Amazon S3 (public mirror)	Allen Developmental Mouse Atlas / S3	S3 public mirror	public	https://allen-developmental-mouse-atlas.s3.amazonaws.com/Multiome/DevVIS_multiome_snRNA_processed.h5ad	S3 mirror URL	/Users/renatosocodato/Library/CloudStorage/GoogleDrive-renato.socodato@gmail.com/My Drive/_disk_reclaim_archive_2026-02-22/repo_phase1_h5ad/DevVIS_multiome_snRNA_processed.h5ad	yes	deleted	yes	yes	yes	pass		google_drive_destination_present (5963488807)
