root	placeholder_path	reason
/Users/renatosocodato/cyto_kb	/Users/renatosocodato/cyto_kb/test_federation_v1.sh	still_placeholder
/Users/renatosocodato/cyto_kb	/Users/renatosocodato/cyto_kb/cyto_kb.db	still_placeholder
/Users/renatosocodato/cyto_kb	/Users/renatosocodato/cyto_kb/README.html	still_placeholder
/Users/renatosocodato/cyto_kb	/Users/renatosocodato/cyto_kb/agent_intent.yaml	still_placeholder
/Users/renatosocodato/cyto_kb	/Users/renatosocodato/cyto_kb/requirements-optional.txt	still_placeholder
/Users/renatosocodato/cyto_kb	/Users/renatosocodato/cyto_kb/test_federation_v1_smoke.sh	still_placeholder
/Users/renatosocodato/cyto_kb	/Users/renatosocodato/cyto_kb/source_data/external/thermocausality_mtce/deliverables/atp_budget_genotype.json	still_placeholder
/Users/renatosocodato/cyto_kb	/Users/renatosocodato/cyto_kb/source_data/external/thermocausality_mtce/deliverables/atp_budget.json	still_placeholder
/Users/renatosocodato/cyto_kb	/Users/renatosocodato/cyto_kb/source_data/external/thermocausality_mtce/provenance/LINEAGE.yml	still_placeholder
/Users/renatosocodato/cyto_kb	/Users/renatosocodato/cyto_kb/source_data/external/thermocausality_mtce/provenance/source_manifest.json	still_placeholder
/Users/renatosocodato/cyto_kb	/Users/renatosocodato/cyto_kb/source_data/external/thermocausality_mtce/provenance/transform_log.md	still_placeholder
/Users/renatosocodato/cyto_kb	/Users/renatosocodato/cyto_kb/source_data/external/thermocausality_mtce/provenance/parsed_manifest.json	still_placeholder
/Users/renatosocodato/cyto_kb	/Users/renatosocodato/cyto_kb/source_data/external/thermocausality_mtce/provenance/derived_manifest.json	still_placeholder
/Users/renatosocodato/cyto_kb	/Users/renatosocodato/cyto_kb/source_data/external/thermocausality_mtce/raw/BIOLOGICAL_CONTEXT.yml	still_placeholder
/Users/renatosocodato/cyto_kb	/Users/renatosocodato/cyto_kb/source_data/external/thermocausality_mtce/raw/DATA_DICTIONARY.yml	still_placeholder
/Users/renatosocodato/cyto_kb	/Users/renatosocodato/cyto_kb/source_data/external/thermocausality_mtce/raw/corrected_cell_ids.txt	still_placeholder
/Users/renatosocodato/cyto_kb	/Users/renatosocodato/cyto_kb/source_data/raw/src_cdc42_story_archaeology/velocity/XYRaw_track_data/CKO_Female_1.xlsx	still_placeholder
/Users/renatosocodato/cyto_kb	/Users/renatosocodato/cyto_kb/source_data/raw/src_cdc42_story_archaeology/velocity/XYRaw_track_data/Ctl_Female_4.xlsx	still_placeholder
/Users/renatosocodato/cyto_kb	/Users/renatosocodato/cyto_kb/source_data/raw/src_cdc42_story_archaeology/velocity/XYRaw_track_data/Ctl_Male_1.xlsx	still_placeholder
/Users/renatosocodato/cyto_kb	/Users/renatosocodato/cyto_kb/source_data/raw/src_cdc42_story_archaeology/velocity/XYRaw_track_data/Ctl_Female_3.xlsx	still_placeholder
