root	placeholder_path	candidate_path	candidate_size	score	candidate_placeholder
/Users/renatosocodato/cyto_kb	/Users/renatosocodato/cyto_kb/source_data/external/thermocausality_mtce/provenance/DATA_SOURCES.md	/Users/renatosocodato/Library/CloudStorage/GoogleDrive-renato.socodato@gmail.com/My Drive/spatial_integration_archive/docs/DATA_SOURCES.md	12430	5.5236	False
/Users/renatosocodato/cyto_kb	/Users/renatosocodato/cyto_kb/source_data/external/thermocausality_mtce/provenance/DATA_PROVENANCE_QUICK_REFERENCE.md	/Users/renatosocodato/thermocausality_mtce/DATA_PROVENANCE_QUICK_REFERENCE.md	8773	10.4858	False
/Users/renatosocodato/cyto_kb	/Users/renatosocodato/cyto_kb/source_data/external/thermocausality_mtce/provenance/GOVERNANCE_DATA_PROVENANCE.md	/Users/renatosocodato/thermocausality_mtce/GOVERNANCE_DATA_PROVENANCE.md	8768	10.4857	False
/Users/renatosocodato/cyto_kb	/Users/renatosocodato/cyto_kb/source_data/external/thermocausality_mtce/raw/BIOLOGICAL_CONTEXT.yml	/Users/renatosocodato/Desktop/CDC42_microglia_paper/data/BIOLOGICAL_CONTEXT.yml	16665	5.5555	False
/Users/renatosocodato/cyto_kb	/Users/renatosocodato/cyto_kb/source_data/external/thermocausality_mtce/raw/BIOLOGICAL_CONTEXT.yml	/Users/renatosocodato/cdc42_2p_fvsm_velocities/data/BIOLOGICAL_CONTEXT.yml	16665	5.5555	False
/Users/renatosocodato/cyto_kb	/Users/renatosocodato/cyto_kb/source_data/external/thermocausality_mtce/raw/BIOLOGICAL_CONTEXT.yml	/Users/renatosocodato/Desktop/CDC42_microglia_paper/manuscript/BIOLOGICAL_CONTEXT.yml	13794	5.5349	False
/Users/renatosocodato/cyto_kb	/Users/renatosocodato/cyto_kb/source_data/external/thermocausality_mtce/raw/BIOLOGICAL_CONTEXT.yml	/Users/renatosocodato/cdc42_2p_fvsm_velocities/manuscript/BIOLOGICAL_CONTEXT.yml	13794	5.5349	False
/Users/renatosocodato/cyto_kb	/Users/renatosocodato/cyto_kb/source_data/external/thermocausality_mtce/raw/DATA_DICTIONARY.yml	/Users/renatosocodato/Desktop/CDC42_microglia_paper/data/DATA_DICTIONARY.yml	10831	5.5087	False
/Users/renatosocodato/cyto_kb	/Users/renatosocodato/cyto_kb/source_data/external/thermocausality_mtce/raw/DATA_DICTIONARY.yml	/Users/renatosocodato/cdc42_2p_fvsm_velocities/data/DATA_DICTIONARY.yml	10831	5.5087	False
/Users/renatosocodato/cyto_kb	/Users/renatosocodato/cyto_kb/source_data/raw/src_thermocausality_mtce/README.md	/Users/renatosocodato/Library/CloudStorage/GoogleDrive-renato.socodato@gmail.com/My Drive/spatial_integration_archive/README.md	39133	5.6481	False
/Users/renatosocodato/cyto_kb	/Users/renatosocodato/cyto_kb/source_data/raw/src_thermocausality_mtce/README.md	/Users/renatosocodato/Library/CloudStorage/GoogleDrive-renato.socodato@gmail.com/My Drive/spatial_integration_archive/phase14/README.md	22195	5.5866	False
/Users/renatosocodato/cyto_kb	/Users/renatosocodato/cyto_kb/source_data/raw/src_thermocausality_mtce/README.md	/Users/renatosocodato/Library/CloudStorage/GoogleDrive-renato.socodato@gmail.com/My Drive/spatial_integration_archive/phase13/README.md	22076	5.586	False
/Users/renatosocodato/cyto_kb	/Users/renatosocodato/cyto_kb/source_data/raw/src_thermocausality_mtce/README.md	/Users/renatosocodato/Library/CloudStorage/GoogleDrive-renato.socodato@gmail.com/My Drive/spatial_integration_archive/phase15/README.md	17354	5.5598	False
/Users/renatosocodato/cyto_kb	/Users/renatosocodato/cyto_kb/source_data/raw/src_thermocausality_mtce/README.md	/Users/renatosocodato/Desktop/CDC42_microglia_paper/analysis/provenance/README.md	16452	5.5541	False
/Users/renatosocodato/cyto_kb	/Users/renatosocodato/cyto_kb/source_data/raw/src_thermocausality_mtce/README.md	/Users/renatosocodato/cdc42_2p_fvsm_velocities/analysis/provenance/README.md	16452	5.5541	False
/Users/renatosocodato/cyto_kb	/Users/renatosocodato/cyto_kb/source_data/raw/src_thermocausality_mtce/README.md	/Users/renatosocodato/Library/CloudStorage/GoogleDrive-renato.socodato@gmail.com/My Drive/spatial_integration_archive/phase16/README.md	16308	5.5531	False
/Users/renatosocodato/cyto_kb	/Users/renatosocodato/cyto_kb/source_data/raw/src_thermocausality_mtce/README.md	/Users/renatosocodato/Library/CloudStorage/GoogleDrive-renato.socodato@gmail.com/My Drive/spatial_integration_archive/phase17/README.md	16172	5.5522	False
/Users/renatosocodato/cyto_kb	/Users/renatosocodato/cyto_kb/source_data/raw/src_thermocausality_mtce/README.md	/Users/renatosocodato/Desktop/CDC42_microglia_paper/phases/README.md	14965	5.5438	False
/Users/renatosocodato/cyto_kb	/Users/renatosocodato/cyto_kb/source_data/raw/src_thermocausality_mtce/README.md	/Users/renatosocodato/cdc42_2p_fvsm_velocities/phases/README.md	14965	5.5438	False
/Users/renatosocodato/cyto_kb	/Users/renatosocodato/cyto_kb/source_data/raw/src_thermocausality_mtce/README.md	/Users/renatosocodato/Desktop/CDC42_microglia_paper/phases/phase4.6_performance/README.md	12765	5.5265	False
/Users/renatosocodato/cyto_kb	/Users/renatosocodato/cyto_kb/source_data/raw/src_thermocausality_mtce/README.md	/Users/renatosocodato/cdc42_2p_fvsm_velocities/phases/phase4.6_performance/README.md	12765	5.5265	False
/Users/renatosocodato/cyto_kb	/Users/renatosocodato/cyto_kb/source_data/raw/src_thermocausality_mtce/README.md	/Users/renatosocodato/Library/CloudStorage/GoogleDrive-renato.socodato@gmail.com/My Drive/spatial_integration_archive/phase17/scripts/README.md	12481	5.5241	False
/Users/renatosocodato/cyto_kb	/Users/renatosocodato/cyto_kb/source_data/raw/src_thermocausality_mtce/README.md	/Users/renatosocodato/Desktop/CDC42_microglia_paper/phases/phase2_synthesis/README.md	11401	5.5142	False
/Users/renatosocodato/cyto_kb	/Users/renatosocodato/cyto_kb/source_data/raw/src_thermocausality_mtce/README.md	/Users/renatosocodato/cdc42_2p_fvsm_velocities/phases/phase2_synthesis/README.md	11401	5.5142	False
/Users/renatosocodato/cyto_kb	/Users/renatosocodato/cyto_kb/source_data/raw/src_thermocausality_mtce/README.md	/Users/renatosocodato/thermocausality_mtce/README.md	9667	5.4963	False
/Users/renatosocodato/cyto_kb	/Users/renatosocodato/cyto_kb/source_data/raw/src_thermocausality_mtce/README.md	/Users/renatosocodato/Library/CloudStorage/GoogleDrive-renato.socodato@gmail.com/My Drive/spatial_integration_archive/phase11/README.md	9538	5.4949	False
/Users/renatosocodato/cyto_kb	/Users/renatosocodato/cyto_kb/source_data/raw/src_thermocausality_mtce/README.md	/Users/renatosocodato/Desktop/CDC42_microglia_paper/README.md	9366	5.4929	False
/Users/renatosocodato/cyto_kb	/Users/renatosocodato/cyto_kb/source_data/raw/src_thermocausality_mtce/README.md	/Users/renatosocodato/cdc42_2p_fvsm_velocities/README.md	9366	5.4929	False
/Users/renatosocodato/cyto_kb	/Users/renatosocodato/cyto_kb/source_data/raw/src_thermocausality_mtce/README.md	/Users/renatosocodato/Desktop/CDC42_microglia_paper/audits/diagnostics/README.md	9019	5.4888	False
/Users/renatosocodato/cyto_kb	/Users/renatosocodato/cyto_kb/source_data/raw/src_thermocausality_mtce/README.md	/Users/renatosocodato/cdc42_2p_fvsm_velocities/audits/diagnostics/README.md	9019	5.4888	False
/Users/renatosocodato/cyto_kb	/Users/renatosocodato/cyto_kb/source_data/raw/src_thermocausality_mtce/README.md	/Users/renatosocodato/Library/CloudStorage/GoogleDrive-renato.socodato@gmail.com/My Drive/spatial_integration_archive/phase12/README.md	8890	5.4872	False
/Users/renatosocodato/cyto_kb	/Users/renatosocodato/cyto_kb/source_data/raw/src_thermocausality_mtce/README.md	/Users/renatosocodato/Desktop/CDC42_microglia_paper/phases/phase4.5_metabolic/manuscript_mirror/README.md	7844	5.4736	False
/Users/renatosocodato/cyto_kb	/Users/renatosocodato/cyto_kb/source_data/raw/src_thermocausality_mtce/README.md	/Users/renatosocodato/cdc42_2p_fvsm_velocities/phases/phase4.5_metabolic/manuscript_mirror/README.md	7844	5.4736	False
/Users/renatosocodato/cyto_kb	/Users/renatosocodato/cyto_kb/source_data/raw/src_thermocausality_mtce/README.md	/Users/renatosocodato/Desktop/CDC42_microglia_paper/phases/phase4_synthesis/wo042i_synthesis/README.md	7838	5.4736	False
/Users/renatosocodato/cyto_kb	/Users/renatosocodato/cyto_kb/source_data/raw/src_thermocausality_mtce/README.md	/Users/renatosocodato/cdc42_2p_fvsm_velocities/phases/phase4_synthesis/wo042i_synthesis/README.md	7838	5.4736	False
/Users/renatosocodato/cyto_kb	/Users/renatosocodato/cyto_kb/source_data/raw/src_thermocausality_mtce/README.md	/Users/renatosocodato/Desktop/CDC42_microglia_paper/phases/phase4_synthesis/README.md	7816	5.4732	False
/Users/renatosocodato/cyto_kb	/Users/renatosocodato/cyto_kb/source_data/raw/src_thermocausality_mtce/README.md	/Users/renatosocodato/cdc42_2p_fvsm_velocities/phases/phase4_synthesis/README.md	7816	5.4732	False
/Users/renatosocodato/cyto_kb	/Users/renatosocodato/cyto_kb/source_data/raw/src_thermocausality_mtce/README.md	/Users/renatosocodato/Library/CloudStorage/GoogleDrive-renato.socodato@gmail.com/My Drive/spatial_integration_archive/phase9/README.md	7748	5.4723	False
/Users/renatosocodato/cyto_kb	/Users/renatosocodato/cyto_kb/source_data/raw/src_thermocausality_mtce/README.md	/Users/renatosocodato/Desktop/CDC42_microglia_paper/manuscript/source_data/phase4/wo042epm/README.md	7434	5.4678	False
/Users/renatosocodato/cyto_kb	/Users/renatosocodato/cyto_kb/source_data/raw/src_thermocausality_mtce/README.md	/Users/renatosocodato/Desktop/CDC42_microglia_paper/phases/phase4_synthesis/wo042e_network/README.md	7217	5.4646	False
/Users/renatosocodato/cyto_kb	/Users/renatosocodato/cyto_kb/source_data/raw/src_thermocausality_mtce/README.md	/Users/renatosocodato/cdc42_2p_fvsm_velocities/phases/phase4_synthesis/wo042e_network/README.md	7217	5.4646	False
/Users/renatosocodato/cyto_kb	/Users/renatosocodato/cyto_kb/source_data/raw/src_thermocausality_mtce/README.md	/Users/renatosocodato/Desktop/CDC42_microglia_paper/phases/phase4_synthesis/wo042f_bayesian/README.md	7033	5.4618	False
/Users/renatosocodato/cyto_kb	/Users/renatosocodato/cyto_kb/source_data/raw/src_thermocausality_mtce/README.md	/Users/renatosocodato/cdc42_2p_fvsm_velocities/phases/phase4_synthesis/wo042f_bayesian/README.md	7033	5.4618	False
