timestamp_utc	root	path	action	status	size_bytes	notes
2026-02-24T14:18:13.183796+00:00	/Users/renatosocodato/redox-secretome-axis	/Users/renatosocodato/redox-secretome-axis/outputs/phase2_secretome-bridge/reversal_candidates_rr_up_fadp_down.csv`	delete_malformed_placeholder_artifact	deleted	843	invalid artifact filename from placeholder reconstruction
2026-02-24T14:18:13.184050+00:00	/Users/renatosocodato/redox-secretome-axis	/Users/renatosocodato/redox-secretome-axis/outputs/phase2_secretome-bridge/reversal_candidates_rr_down_fadp_up.csv`	delete_malformed_placeholder_artifact	deleted	875	invalid artifact filename from placeholder reconstruction
2026-02-24T14:18:13.184366+00:00	/Users/renatosocodato/redox-secretome-axis	/Users/renatosocodato/redox-secretome-axis/outputs/phase2_secretome-bridge/*.csv	delete_malformed_placeholder_artifact	deleted	167	invalid artifact filename from placeholder reconstruction
2026-02-24T14:18:13.184424+00:00	/Users/renatosocodato/redox-secretome-axis	/Users/renatosocodato/redox-secretome-axis/outputs/phase2_secretome-bridge/secretome_candidates_primary.csv`	delete_malformed_placeholder_artifact	deleted	1694	invalid artifact filename from placeholder reconstruction
2026-02-24T14:18:13.184664+00:00	/Users/renatosocodato/redox-secretome-axis	/Users/renatosocodato/redox-secretome-axis/outputs/phase1_contrast-map_rr-vs-fadp/consensus/FAD-P_consensus_fdr0.10_strict.csv,7542,3374,4168	delete_malformed_placeholder_artifact	deleted	298	invalid artifact filename from placeholder reconstruction
2026-02-24T14:18:13.184728+00:00	/Users/renatosocodato/redox-secretome-axis	/Users/renatosocodato/redox-secretome-axis/outputs/phase1_contrast-map_rr-vs-fadp/consensus/FAD-P_consensus_fdr0.csv,8944,3790,5154	delete_malformed_placeholder_artifact	deleted	288	invalid artifact filename from placeholder reconstruction
2026-02-24T14:18:13.184789+00:00	/Users/renatosocodato/redox-secretome-axis	/Users/renatosocodato/redox-secretome-axis/outputs/phase1_contrast-map_rr-vs-fadp/consensus/RR_consensus_fdr0.10_strict.csv,7626,3387,4239	delete_malformed_placeholder_artifact	deleted	295	invalid artifact filename from placeholder reconstruction
2026-02-24T14:18:13.185024+00:00	/Users/renatosocodato/redox-secretome-axis	/Users/renatosocodato/redox-secretome-axis/outputs/phase1_contrast-map_rr-vs-fadp/consensus/RR_consensus_fdr0.csv,9066,3852,5214	delete_malformed_placeholder_artifact	deleted	285	invalid artifact filename from placeholder reconstruction
2026-02-24T14:18:13.185285+00:00	/Users/renatosocodato/redox-secretome-axis	/Users/renatosocodato/redox-secretome-axis/outputs/phase1_contrast-map_rr-vs-fadp/exports/phase1_primary_overlap_genes.csv`	delete_malformed_placeholder_artifact	deleted	209	invalid artifact filename from placeholder reconstruction
2026-02-24T14:18:13.185620+00:00	/Users/renatosocodato/redox-secretome-axis	/Users/renatosocodato/redox-secretome-axis/outputs/phase2_secretome-bridge/metadata/direction_concordance_qc.csv`	delete_malformed_placeholder_artifact	deleted	133	invalid artifact filename from placeholder reconstruction
2026-02-24T14:18:13.186446+00:00	/Users/renatosocodato/redox-secretome-axis	/Users/renatosocodato/redox-secretome-axis/phase1_contrast-map_rr-vs-fadp/figures/*.csv	delete_malformed_placeholder_artifact	deleted	174	invalid artifact filename from placeholder reconstruction
2026-02-24T14:18:13.186504+00:00	/Users/renatosocodato/redox-secretome-axis	/Users/renatosocodato/redox-secretome-axis/phase1_contrast-map_rr-vs-fadp/figures/*.md	delete_malformed_placeholder_artifact	deleted	243	invalid artifact filename from placeholder reconstruction
2026-02-24T14:18:13.187504+00:00	/Users/renatosocodato/redox-secretome-axis	/Users/renatosocodato/redox-secretome-axis/phase2_secretome-bridge/figures/*.csv	delete_malformed_placeholder_artifact	deleted	167	invalid artifact filename from placeholder reconstruction
2026-02-24T14:19:23.385307+00:00	/Users/renatosocodato/cyto_kb	/Users/renatosocodato/cyto_kb/source_data/external/thermocausality_mtce/deliverables/atp_budget.json	recover_from_data_mirror	no_candidate	243	
2026-02-24T14:19:30.929888+00:00	/Users/renatosocodato/cyto_kb	/Users/renatosocodato/cyto_kb/source_data/external/thermocausality_mtce/deliverables/atp_budget_genotype.json	recover_from_data_mirror	no_candidate	252	
2026-02-24T14:19:38.488113+00:00	/Users/renatosocodato/cyto_kb	/Users/renatosocodato/cyto_kb/source_data/external/thermocausality_mtce/provenance/LINEAGE.yml	recover_from_data_mirror	no_candidate	237	
2026-02-24T14:19:43.510093+00:00	/Users/renatosocodato/cyto_kb	/Users/renatosocodato/cyto_kb/source_data/external/thermocausality_mtce/provenance/derived_manifest.json	recover_from_data_mirror	no_candidate	247	
2026-02-24T14:19:53.590632+00:00	/Users/renatosocodato/cyto_kb	/Users/renatosocodato/cyto_kb/source_data/external/thermocausality_mtce/provenance/parsed_manifest.json	recover_from_data_mirror	no_candidate	246	
2026-02-24T14:20:03.944829+00:00	/Users/renatosocodato/cyto_kb	/Users/renatosocodato/cyto_kb/source_data/external/thermocausality_mtce/provenance/source_manifest.json	recover_from_data_mirror	no_candidate	246	
2026-02-24T14:20:14.669470+00:00	/Users/renatosocodato/cyto_kb	/Users/renatosocodato/cyto_kb/source_data/external/thermocausality_mtce/provenance/transform_log.md	recover_from_data_mirror	no_candidate	242	
2026-02-24T14:20:22.819737+00:00	/Users/renatosocodato/cyto_kb	/Users/renatosocodato/cyto_kb/source_data/external/thermocausality_mtce/raw/corrected_cell_ids.txt	recover_from_data_mirror	no_candidate	241	
